year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,def_avg_Delay
2004,2,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",980.0,277.0,66.02,9.25,125.8,0.73,75.2,1.0,1.0,11496.0,3205.0,574.0,4177.0,40.0,3500.0,1861.0217121437931
2004,2,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",1876.0,333.0,63.74,8.42,179.69,1.0,80.15,36.0,2.0,13358.0,2685.0,467.0,6524.0,23.0,3659.0,2020.0217121437931
2004,2,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",2750.0,417.0,93.05,13.01,222.81,0.78,87.35,18.0,2.0,16334.0,5212.0,657.0,6071.0,47.0,4347.0,2708.021712143793
2004,2,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",953.0,208.0,61.95,6.42,67.26,0.93,71.44,3.0,2.0,9496.0,3140.0,309.0,2151.0,37.0,3859.0,2220.021712143793
2004,2,EV,Atlantic Southeast Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6221.0,2001.0,196.09,205.09,1523.54,4.92,71.36,252.0,7.0,118508.0,14231.0,12883.0,88023.0,253.0,3118.0,1479.0217121437931
2004,2,EV,Atlantic Southeast Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3983.0,670.0,170.34,109.83,327.75,0.96,61.12,117.0,17.0,34691.0,10676.0,7324.0,13413.0,23.0,3255.0,1616.0217121437931
2004,2,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",1754.0,175.0,73.48,5.64,3.52,1.78,90.59,19.0,1.0,11335.0,3515.0,412.0,851.0,45.0,6512.0,4873.021712143793
2004,2,HP,America West Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",2558.0,650.0,150.15,4.78,271.19,2.1,221.78,66.0,2.0,36184.0,8495.0,609.0,15016.0,61.0,12003.0,10364.021712143793
2004,2,HP,America West Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5282.0,1050.0,245.91,14.34,509.03,8.95,271.76,81.0,4.0,43152.0,13295.0,1348.0,14426.0,221.0,13862.0,12223.021712143793
2004,2,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6400.0,2116.0,104.4,16.76,1149.92,1.59,843.33,247.0,2.0,99183.0,9838.0,1440.0,47767.0,71.0,40067.0,38428.021712143796
2004,2,NW,Northwest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",8737.0,1150.0,259.29,35.34,604.66,5.62,245.09,149.0,2.0,48108.0,17506.0,2209.0,16964.0,148.0,11281.0,9642.021712143793
2004,2,NW,Northwest Airlines Inc.,MEM,"Memphis, TN: Memphis International",2507.0,417.0,97.11,13.42,244.21,4.63,57.63,12.0,1.0,18240.0,7001.0,1127.0,7206.0,174.0,2732.0,1093.0217121437931
2004,2,NW,Northwest Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",614.0,148.0,38.13,5.07,78.07,0.73,26.0,4.0,2.0,5938.0,1713.0,329.0,2536.0,62.0,1298.0,-340.97828785620686
2004,2,NW,Northwest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",8993.0,1948.0,343.01,53.69,1176.41,12.79,362.1,144.0,15.0,84858.0,26386.0,4875.0,35830.0,328.0,17439.0,15800.021712143793
2004,2,NW,Northwest Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",169.0,35.0,11.25,0.14,21.9,0.35,1.36,1.0,1.0,1187.0,440.0,5.0,678.0,7.0,57.0,-1581.9782878562069
2004,2,OH,Comair Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2929.0,1111.0,216.63,430.49,439.08,1.4,23.4,107.0,6.0,69888.0,13763.0,32765.0,22186.0,74.0,1100.0,-538.9782878562069
2004,2,OH,Comair Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",8899.0,1325.0,544.5,371.55,359.75,2.2,47.0,362.0,7.0,66853.0,31461.0,20005.0,13260.0,58.0,2069.0,430.02171214379314
2004,2,OH,Comair Inc.,LGA,"New York, NY: LaGuardia",1189.0,173.0,45.56,45.4,75.68,1.0,5.36,28.0,7.0,8734.0,2886.0,2800.0,2774.0,23.0,251.0,-1387.9782878562069
2004,2,OH,Comair Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",145.0,36.0,20.3,11.59,2.87,0.25,1.0,3.0,1.0,1819.0,886.0,764.0,111.0,6.0,52.0,-1586.9782878562069
2004,2,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3764.0,451.0,228.0,40.0,46.0,3.0,134.0,63.0,5.0,18733.0,10303.0,1369.0,1590.0,102.0,5369.0,3730.021712143793
