AIRPORT,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
MLU,4019,21,269.0,45.0,7.0,2.0,2840.0,-2395.9565757124137,1.1641359285112376,0.6817549300887463,1.8603076361697053,0.876907151539953,2.4821633490012065
MOB,22085,57,2182.0,478.0,55.0,16.0,26313.0,-9549.761166418279,3.390284470465516,2.298023105987276,3.110174245215009,3.5022912431088065,2.8478897704455712
MOT,2011,8,219.0,56.0,1.0,3.0,2732.0,-676.9782878562069,0.2769668388352421,0.1540745720928929,0.2645150803150537,0.2195806810082224,0.2103534964855574
MQT,2005,12,79.0,39.0,6.0,1.0,3368.0,475.02171214379314,0.9363013880645934,0.535275333685589,5.183211192538308,1.1776302137372898,0.3553186764379303
MRY,32210,129,4900.0,1019.0,193.0,62.0,57884.0,2928.34739430069,4.137631289830122,2.5476461222918094,5.5016439564640685,3.79997484500046,4.054482304478849
MSN,20119,70,2669.0,797.0,95.0,18.0,47364.0,2011.2171214379314,2.929011769831514,1.9877276925068559,3.250878784326387,2.6749558605124886,1.4284241088159693
MSO,6021,25,835.0,192.0,6.0,5.0,8875.0,-2263.9348635686206,0.5779529199269721,0.7075010063599411,0.9579275524303623,0.5837378626576525,0.3032485704997831
MSP,641746,2022,1116912.0,190326.0,13878.0,2407.0,11378710.0,3094337.926173894,22.42956111873455,15.041866268673104,27.85287603774631,25.455150779701782,14.482875088141805
MSY,281686,899,146362.0,30016.0,1594.0,543.0,1479214.0,524878.0397001306,14.302572618337292,8.730006524658728,15.431345311165494,12.077436239856704,10.962987547711325
MTJ,2011,5,51.0,13.0,2.0,1.0,548.0,-1307.9782878562069,0.8417893746344192,0.844226579520697,0.6257822277847309,0.5107925523150436,1.2352941176470589
MYR,18126,57,3359.0,604.0,67.0,10.0,42383.0,270.19540929413733,2.3789619536910176,1.4255559406180205,2.004186187684847,1.6838550859509462,1.2652387870979402
OAJ,8063,16,634.0,175.0,20.0,4.0,10450.0,-1845.9131514248274,1.7756297352703254,0.9789243642866488,1.237336171502569,1.5642842903458023,1.0981776299543151
OAK,293507,973,440044.0,80631.0,5815.0,425.0,3574028.0,2006206.1699730016,4.989550960509112,3.575638159781873,9.83896941866713,4.971677635582,3.5998094157504914
OGG,26206,66,14125.0,1330.0,46.0,18.0,65978.0,-6219.71774213069,1.3232215101310392,0.6596743781428122,1.8985672242872256,1.375662534617657,0.5824413511996198
OKC,120585,407,23269.0,5575.0,390.0,141.0,274915.0,32513.302728627565,12.151882082648276,7.36576479117935,13.815685188238216,9.640533336041493,7.794277301082549
OMA,98529,296,16475.0,4201.0,344.0,87.0,231242.0,19131.063895045845,11.354719729516814,7.304169720003865,15.393117338389901,10.066683946408936,7.030562290681127
OME,34152,110,1480.0,290.0,83.0,38.0,12551.0,-21069.63089355552,8.424808327048895,6.031883081074936,7.374075284681188,9.487685567550637,6.754022116893862
ONT,124558,428,73216.0,13191.0,692.0,146.0,589480.0,273797.346152915,3.7430481082597375,2.412502703423387,5.071899975580698,3.174466314193708,3.138290127966331
ORD,1452131,4694,3003636.0,701243.0,106143.0,7336.0,48974352.0,16308504.676167546,36.827249470805825,31.155640289467975,45.53085028563875,33.190543006798904,21.69208208011601
ORF,60243,232,8926.0,2313.0,272.0,40.0,134939.0,13179.651364313784,7.918350682989279,4.903652218518152,8.729594440247961,6.452876889048034,4.78625855417189
ORH,2018,9,90.0,31.0,1.0,1.0,1959.0,-811.9782878562069,0.967251461988304,0.3866503866503867,0.6666666666666666,0.718226788432268,0.564373897707231
OTH,2010,8,155.0,68.0,1.0,1.0,5179.0,2351.021712143793,0.5439969459820576,0.2346041055718475,0.7168458781362007,0.4715072496347083,0.8602150537634409
OTZ,18068,67,816.0,210.0,18.0,20.0,10593.0,-10493.804590705864,4.654873612678615,3.428143919709935,5.357719349207087,5.642962337733011,4.773049375531573
PBI,156952,524,35862.0,10020.0,724.0,126.0,618325.0,126612.69354721578,14.100972579701672,8.663958093807734,21.17914569011131,10.996877959997759,10.340559993713779
PDX,333869,1091,163994.0,30020.0,2335.0,354.0,1489978.0,525136.6042158692,13.689983085084286,8.838496417824794,19.113627823043114,12.716523039550424,8.682327922576153
PGD,10097,22,2759.0,519.0,259.0,15.0,35316.0,7955.108560718965,0.7919860470024929,0.41550253140581195,0.8711455409707679,0.8076716382591101,0.3118880698337367
PHF,2018,7,164.0,40.0,2.0,1.0,2497.0,-739.9782878562069,0.4571899347016823,0.3343280902910225,0.5306274436790169,0.2699006014032743,0.8037694013303769
PHL,615729,1959,732849.0,151136.0,14901.0,1998.0,9030712.0,2398231.6439160174,20.6063854710264,17.062197626329375,28.56782909086165,18.101996875769938,15.707204731191235
PHX,985639,3172,2148733.0,348943.0,27014.0,3125.0,17097776.0,6894753.638950504,15.02144537097579,8.449534455951271,18.267407618195595,13.777723544252868,12.99275782137635
PIA,6020,19,279.0,93.0,13.0,4.0,5530.0,-3331.9348635686206,2.4996547488169405,1.708791269294336,2.9732563567966137,1.7035704843598758,2.1727022238750173
PIE,20184,45,6621.0,1654.0,53.0,24.0,143418.0,53654.21712143792,1.377255783397389,0.7419767309112771,1.1008190846380517,1.9080707671765784,0.4178669037226343
PIH,2003,8,159.0,15.0,1.0,4.0,657.0,-1599.9782878562069,0.2452830188679245,0.3223270440251572,0.1446540880503144,0.294811320754717,0.0943396226415094
PIT,134717,404,29722.0,7124.0,701.0,98.0,401959.0,76148.45471363417,14.452130956472995,9.228784228674705,16.927677823675598,11.685019063227658,11.087759518983601
PLN,4034,15,150.0,36.0,12.0,5.0,2683.0,-2575.9565757124137,1.7254754771712486,0.9814905307166641,2.1857009478180913,4.084596788082519,0.5589159698748739
PNS,32158,123,2749.0,578.0,75.0,29.0,30621.0,-17236.652605699313,5.796903742322974,3.783385140256755,5.5488968665028455,6.081514301944802,3.8376919994299645
PSC,6022,25,853.0,224.0,31.0,4.0,11936.0,-2788.9348635686206,0.532320830427859,0.8860002471456603,0.8286576218474908,0.5536316631049301,0.4620277370254662
PSE,6037,22,209.0,87.0,5.0,5.0,4906.0,-2441.9348635686206,2.9210617945137245,1.6344086484056217,5.288395567665081,2.0428990465007395,2.3536259944282003
PSG,10045,26,304.0,95.0,16.0,10.0,4391.0,-5799.891439281035,3.4444931856054555,2.6763204460292456,3.3060965135976508,5.221371175796974,2.0130484872770986
PSP,38238,128,8766.0,1935.0,195.0,46.0,107258.0,19221.41253073207,3.98227076749278,2.3292776554841765,4.774536980865968,3.1814040036796114,1.9317053481175155
PVD,114566,343,40535.0,8304.0,572.0,118.0,459189.0,142492.2375921961,8.336402553171213,5.5839923448690065,10.449084527742619,6.342207603220816,4.663636823857039
PWM,22106,74,1524.0,401.0,76.0,12.0,23660.0,-10330.761166418275,6.196722942802998,3.632132704806077,6.160224156812644,5.922273327135605,4.075046112225245
RAP,6038,20,917.0,180.0,15.0,5.0,10978.0,-1722.9348635686206,0.6999905988825315,0.433866282632558,0.5691738055549506,0.7285885265284342,0.6255803353813889
RDM,10063,29,1292.0,263.0,48.0,12.0,15883.0,-764.8914392810345,1.3878591133154174,0.6265216802715712,3.1390980491287035,1.2640205818096373,0.5854622309184513
RDU,305561,948,108842.0,24041.0,2570.0,278.0,1339701.0,375023.3002458562,21.870772062101814,13.610519043666512,23.951927501255668,17.375831368408875,14.93416886409759
RIC,50248,160,7719.0,2301.0,242.0,33.0,155260.0,27104.54280359482,6.605626775535544,4.571721016692681,8.25294622489811,5.632384643276162,3.981205442836401
RIW,2020,3,87.0,12.0,11.0,1.0,1580.0,-1548.9782878562069,0.7496251874062969,0.7713649806396536,1.1932964815302272,2.599890530925013,0.6996501749125438
RNO,114541,394,49509.0,10575.0,433.0,234.0,490682.0,212570.2375921961,5.034382802877749,3.3995706947394146,10.966648552065893,4.740022200592381,3.3324787859662077
ROA,12034,48,880.0,270.0,22.0,6.0,15626.0,-6589.869727137242,3.683896399470921,1.676185841731693,5.563210176938213,2.7751610675123426,1.3532319028331192
ROC,26142,64,2227.0,648.0,93.0,14.0,42409.0,-169.71774213068943,5.1589062707146045,4.475853380364742,6.334605472679703,5.113638362797679,5.545461978320523
ROW,6045,8,258.0,67.0,20.0,5.0,3724.0,-3957.9348635686206,1.8887918491346656,1.4798736808254782,3.0345680037337024,1.561006160415972,1.0530234470100122
RST,2010,6,131.0,23.0,3.0,1.0,1463.0,-1161.9782878562069,0.539440203562341,0.342695508694312,0.5551700208188758,0.5112338755299163,0.4351145038167939
RSW,134874,342,28134.0,6851.0,526.0,125.0,395829.0,26980.454713634117,13.499451717724709,8.011152731613134,22.270286064853096,11.07663047978327,9.370512671060697
SAF,2015,6,90.0,16.0,3.0,1.0,805.0,-1444.9782878562069,0.5375450263230812,0.3103103103103102,0.3658536585365854,0.7643427741466957,0.3980099502487562
SAN,603337,1976,547101.0,107477.0,6870.0,1474.0,4955555.0,2305114.5136431563,20.471819652280924,13.274930733843888,27.447669480175602,19.57809259247045,15.188319687248086
SAT,281606,856,152238.0,30353.0,1580.0,380.0,1446377.0,533514.0397001306,10.118180788738533,7.068429065446402,13.69056199868952,8.517339985139257,6.808152961838959
